client_id,risk_segment
CLI00207,high
CLI00208,low
CLI00209,high
CLI00210,high
CLI00211,low
CLI00212,low
CLI00213,low
CLI00214,medium
CLI00215,low
CLI00216,medium
CLI00217,medium
CLI00218,low
CLI00219,low
CLI00220,low
CLI00221,low
CLI00222,low
CLI00223,high
CLI00224,medium
CLI00225,medium
CLI00226,medium
CLI00227,low
CLI00228,medium
CLI00229,low
CLI00230,low
CLI00231,low
CLI00232,low
CLI00233,low
CLI00234,medium
CLI00235,high
CLI00236,low
CLI00237,medium
CLI00238,high
CLI00239,low
CLI00240,high
CLI00241,low
CLI00242,low
CLI00243,low
CLI00244,medium
CLI00245,high
CLI00246,low
CLI00247,medium
CLI00248,low
CLI00249,low
CLI00250,low
CLI00251,medium
CLI00252,medium
CLI00253,low
CLI00254,medium
CLI00255,high
CLI00256,low
CLI00257,low
CLI00258,low
CLI00259,low
CLI00260,high
CLI00261,low
CLI00262,low
CLI00263,high
CLI00264,low
CLI00265,low
CLI00266,low
CLI00267,low
CLI00268,low
CLI00269,medium
CLI00270,medium
CLI00271,low
CLI00272,low
CLI00273,low
CLI00274,low
CLI00275,low
CLI00276,low
CLI00277,low
CLI00278,low
CLI00279,low
CLI00280,low
CLI00281,low
CLI00282,medium
CLI00283,medium
CLI00284,high
CLI00285,low
CLI00286,high
CLI00287,medium
CLI00288,low
CLI00289,medium
CLI00290,low
CLI00291,high
CLI00292,high
CLI00293,low
CLI00294,medium
CLI00295,high
CLI00296,low
CLI00297,low
CLI00298,medium
CLI00299,low
CLI00300,high
CLI00301,high
CLI00302,low
CLI00303,low
CLI00304,low
CLI00305,low
CLI00306,low
CLI00307,low
CLI00308,medium
CLI00309,low
CLI00310,medium
CLI00311,medium
CLI00312,high
CLI00313,high
CLI00314,low
CLI00315,low
CLI00316,low
CLI00317,medium
CLI00318,high
CLI00319,high
CLI00320,medium
CLI00321,low
CLI00322,low
CLI00323,low
CLI00324,medium
CLI00325,low
CLI00326,low
CLI00327,low
CLI00328,low
CLI00329,medium
CLI00330,medium
CLI00331,medium
CLI00332,low
CLI00333,high
CLI00334,high
CLI00335,high
CLI00336,high
CLI00337,low
CLI00338,low
CLI00339,medium
CLI00340,high
CLI00341,medium
CLI00342,medium
CLI00343,high
CLI00344,medium
CLI00345,medium
CLI00346,low
CLI00347,low
CLI00348,high
CLI00349,medium
CLI00350,low
CLI00351,low
CLI00352,low
CLI00353,low
CLI00354,high
CLI00355,high
CLI00356,low
CLI00357,high
CLI00358,low
CLI00359,low
CLI00360,low
CLI00361,medium
CLI00362,low
CLI00363,medium
CLI00364,low
CLI00365,low
CLI00366,medium
CLI00367,low
CLI00368,low
CLI00369,high
CLI00370,high
CLI00371,high
CLI00372,high
CLI00373,high
CLI00374,low
CLI00375,high
CLI00376,medium
CLI00377,low
CLI00378,high
CLI00379,low
CLI00380,medium
CLI00381,high
CLI00382,low
CLI00383,low
CLI00384,low
CLI00385,low
CLI00386,low
CLI00387,medium
CLI00388,high
CLI00389,low
CLI00390,low
CLI00391,low
CLI00392,medium
CLI00393,medium
CLI00394,low
CLI00395,medium
CLI00396,low
CLI00397,low
CLI00398,medium
CLI00399,low
CLI00400,low
CLI00401,high
CLI00402,low
CLI00403,low
CLI00404,low
CLI00405,medium
CLI00406,low
CLI00407,medium
CLI00408,high
CLI00409,low
CLI00410,high
CLI00411,medium
CLI00412,low
CLI00413,low
CLI00414,low
CLI00415,low
CLI00416,medium
CLI00417,medium
CLI00418,medium
CLI00419,low
CLI00420,low
CLI00421,low
CLI00422,low
CLI00423,high
CLI00424,medium
CLI00425,high
CLI00426,low
CLI00427,medium
CLI00428,low
CLI00429,medium
CLI00430,high
CLI00431,high
CLI00432,low
CLI00433,low
CLI00434,high
CLI00435,high
CLI00436,low
CLI00437,high
CLI00438,low
CLI00439,low
CLI00440,high
CLI00441,high
CLI00442,low
CLI00443,medium
CLI00444,medium
CLI00445,low
CLI00446,low
CLI00447,low
CLI00448,low
CLI00449,medium
CLI00450,high
CLI00451,low
CLI00452,low
CLI00453,medium
CLI00454,low
CLI00455,high
CLI00456,medium
CLI00457,high
CLI00458,medium
CLI00459,high
CLI00460,high
CLI00461,high
CLI00462,low
CLI00463,low
CLI00464,low
CLI00465,low
CLI00466,medium
CLI00467,medium
CLI00468,low
CLI00469,medium
CLI00470,low
CLI00471,high
CLI00472,low
CLI00473,high
CLI00474,low
CLI00475,low
CLI00476,low
CLI00477,high
CLI00478,low
CLI00479,low
CLI00480,low
CLI00481,low
CLI00482,low
CLI00483,medium
CLI00484,low
CLI00485,low
CLI00486,low
CLI00487,high
CLI00488,medium
CLI00489,low
CLI00490,low
CLI00491,medium
CLI00492,low
CLI00493,medium
CLI00494,high
CLI00495,medium
CLI00496,medium
CLI00497,low
CLI00498,high
CLI00499,low
CLI00500,low
